run,framework,points,possible,inspectability,provenance,retrieval_transparency,deletion_evidence,mutation_lineage,tamper_evidence,origin
aetnamem-local,aetnamem,16,18,3,3,3,3,2,2,native
agno-memory-local,agno_memory,12,18,3,3,2,2,1,1,undeclared
autogen-mem0-local,autogen_mem0memory,13,18,3,3,2,2,1,2,undeclared
aws-agentcore-memory-local,aws_bedrock_agentcore_memory,11,18,3,3,2,2,0,1,undeclared
cognee-local,cognee,12,18,3,3,2,2,0,2,undeclared
crewai-memory-local,crewai_memory,13,18,3,3,2,2,1,2,undeclared
google-adk-memory-bank-local,google_adk_memory_bank,12,18,3,3,2,2,1,1,undeclared
graphiti-neo4j-local,graphiti,5,18,0,0,2,2,0,1,undeclared
hindsight-local,hindsight,12,18,3,3,2,2,0,2,undeclared
langgraph-local,langgraph,12,18,3,3,2,2,1,1,undeclared
langmem-local,langmem,12,18,3,3,2,2,1,1,undeclared
letta-local,letta,11,18,3,3,2,2,0,1,undeclared
llamaindex-memory-local,llamaindex_memory,12,18,3,3,2,2,1,1,undeclared
mem0-local,mem0,13,18,3,3,2,2,1,2,undeclared
openai-agents-sessions-local,openai_agents_sdk_sessions,9,18,3,3,0,2,0,1,undeclared
supermemory-api-local,supermemory,13,18,3,3,2,2,1,2,undeclared
tencentdb-agent-memory-local,tencentdb-agent-memory,10,18,3,2,2,1,1,1,undeclared
tree-ring-memory-local,tree-ring-memory,12,18,3,3,2,2,1,1,undeclared
zep-cloud-local,zep,11,18,3,3,2,2,0,1,undeclared
